2019/4/11,reading,1,24,10,9:30,9:31
2019/4/11,reading,1,102,10,9:30,9:40
2019/4/11,reading,1,7,6,9:30,9:31
2019/4/11,reading,1,135,10,9:30,9:35
2019/4/11,reading,1,12,6,9:30,9:32
2019/4/11,reading,1,120,10,9:30,9:32
2019/4/11,reading,1,80,8,9:30,9:35
2019/4/11,reading,1,59,10,9:30,9:34
2019/4/11,reading,1,130,8,9:30,9:35
2019/4/11,reading,1,99,10,9:30,9:32
2019/4/11,reading,1,91,10,9:30,9:36
2019/4/11,reading,1,30,8,9:30,9:33
2019/4/11,reading,1,36,10,9:30,9:36
2019/4/11,reading,1,137,8,9:30,9:33
2019/4/11,reading,1,6,10,9:30,9:35
2019/4/11,reading,1,27,10,9:30,9:34
2019/4/11,reading,1,10,10,9:30,9:36
2019/4/11,reading,1,127,10,9:30,9:34
2019/4/11,reading,1,40,10,9:30,9:34
2019/4/11,reading,1,97,8,9:30,9:41
2019/4/11,reading,1,8,8,9:30,9:32
2019/4/11,reading,1,55,10,9:30,9:35
2019/4/11,reading,1,61,10,9:30,9:35
2019/4/11,reading,1,45,10,9:30,9:37
2019/4/11,reading,1,21,10,9:30,9:35
2019/4/11,reading,1,3,10,9:30,9:35
2019/4/11,reading,1,47,10,9:30,9:39
2019/4/11,reading,1,49,10,9:30,9:37
2019/4/11,reading,1,16,10,9:30,9:45
2019/4/11,reading,1,31,10,9:30,9:34
2019/4/11,reading,1,87,10,9:30,9:34
2019/4/11,reading,1,138,10,9:30,9:39
2019/4/11,reading,1,103,10,9:30,9:34
2019/4/11,reading,1,89,10,9:30,9:36
2019/4/11,reading,1,115,10,9:30,9:35
2019/4/11,reading,1,119,8,9:30,9:33
2019/4/11,reading,1,63,6,9:30,9:38
2019/4/11,reading,1,60,6,9:30,9:37
2019/4/11,reading,1,11,10,9:30,9:33
2019/4/11,reading,1,57,8,9:30,9:35
2019/4/11,reading,1,69,8,9:30,9:33
2019/4/11,reading,1,51,10,9:30,9:35
2019/4/11,reading,1,95,10,9:30,9:38
2019/4/11,reading,1,93,10,9:30,9:32
2019/4/11,reading,1,56,10,9:30,9:35
2019/4/11,reading,1,66,8,9:30,9:36
2019/4/11,reading,1,85,10,9:30,9:35
2019/4/11,reading,1,67,10,9:30,9:36
2019/4/11,reading,1,72,6,9:30,9:34
2019/4/11,reading,1,39,10,9:30,9:35
